airport,name,freq,category,subcategory,mode,region,tags,memo,lat,lon
RJTT,東京TWR(RWY-A),118.1,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR(RWY-B),118.575,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR(RWY-C/RWY23),124.35,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR(RWY-D),118.725,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR05,118.8,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR06,126.2,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京TWR07,236.8,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP01(羽田),119.1,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP02(羽田),119.4,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP03,119.65,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP04,119.7,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP05,125.4,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP06,232.2,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP07,261.2,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP08,121.275,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP09(成田,124.4,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP10,125.2,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP11,125.8,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP12(成田),127.7,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京APP13,225.65,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP01(羽田）,126,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP02(羽田),120.8,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP03,127.6,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP04(成田),124.2,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP05(成田),119.6,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP06,120.6,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京DEP07,125.525,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京CLR01,121.825,AIR,CLR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京CLR02,121.875,AIR,CLR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ATIS,128.8,AIR,ATIS,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR01,124,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR02(羽田),126.5,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR03,236.8,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR04,261.2,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR05,295.9,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR06(成田),120.2,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR07,119.025,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR08,120.9,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR09,123.6,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR10,125.1,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,RDR11,283.4,AIR,RDR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,TCA01(羽田),124.75,AIR,TCA,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,TCA02(羽田),119.7,AIR,TCA,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,TCA03(羽田),256.1,AIR,TCA,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,TCA04(成田),119.45,AIR,TCA,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,TCA05(成田),246.1,AIR,TCA,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND01(T2),118.225,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND02(T3),121.625,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND03(T1),121.7,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND04(RWY-D),121.975,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京GND05(貨物・特別),122.075,AIR,GND,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
