name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
大雪TWR01,118.5000,AKJ/RJEC,AIR,TWR,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
大雪TWR02,126.2000,AKJ/RJEC,AIR,TWR,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
日高APP01,128.3520,AKJ/RJEC,AIR,APP,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
日高APP02,246.1000,AKJ/RJEC,AIR,APP,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
日高APP03,134.5500,AKJ/RJEC,AIR,APP,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
ANA/ADO,129.1000,AKJ/RJEC,AIR,company,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
JAL/NTH/FDA/JJP,130.1750,AKJ/RJEC,AIR,company,AM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
ANA/ADO,149.5300,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
北海道エアポート01,149.4500,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
北海道エアポート02,153.4500,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
北海道エアポート03,154.2900,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
北海道エアポート04,157.6100,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
航空局,153.4500,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
気象庁01,154.2900,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
気象庁02,153.4500,AKJ/RJEC,AIR,grand,FM,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
VOR,113.5MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
DME,1169MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
ILS-LOC 34,110.5MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
ILS-GP,329.6MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
ILS-DME 34,1003MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
MSAS,1575.42MHz,AKJ/RJEC,AIR,ILS,,旭川,"旭川,AKJ,RJEC,北海道",,43.6707,142.4528
