name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
青森TWR01,118.3000,AOJ/RJSA,AIR,TWR,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森TWR02,126.2000,AOJ/RJSA,AIR,TWR,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
白神APP01,119.2500,AOJ/RJSA,AIR,APP,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
白神APP02,315.3000,AOJ/RJSA,AIR,APP,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
白神APP03,120.6500,AOJ/RJSA,AIR,APP,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
ANA,129.8500,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
JAL,130.1750,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
FDA,22.4250,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
フジビジネスジェット,122.4250,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
東北測量,129.5500,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
アジア航測,123.5000,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森県警察航空隊,135.9500,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森県防災航空隊01,131.9750,AOJ/RJSA,AIR,company,AM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森県防災航空隊02,399.6500,AOJ/RJSA,AIR,company,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森県防災航空隊基地局,147.3600,AOJ/RJSA,AIR,company,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森県防災航空隊移動局,143.3600,AOJ/RJSA,AIR,company,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
ANA,149.5300,AOJ/RJSA,AIR,grand,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
SAS(FDA),3R,AOJ/RJSA,AIR,grand,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
航空局,154.2100,AOJ/RJSA,AIR,grand,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
青森空港管理事務所,153.4500,AOJ/RJSA,AIR,grand,FM,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
大韓航空,3B,AOJ/RJSA,AIR,grand,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
VOR,114.1MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
DME,1175MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
ILS-LOC 24,111.9MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
ILS-GP 24,331.1MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
ILS-DME24,1017MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
IM 24,75MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
MSAS,1575.42MHz,AOJ/RJSA,AIR,ILS,,青森,"AOJ,RJSA,青森,東北",,40.7333,140.6888
