name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
秋田TWR01,118.6000,AXT/RJSK,AIR,TWR,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田TWR02,126.2000,AXT/RJSK,AIR,TWR,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
白神APP01,119.2500,AXT/RJSK,AIR,APP,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
白神APP02,315.3000,AXT/RJSK,AIR,APP,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
白神APP03,120.6500,AXT/RJSK,AIR,APP,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田県警察航空隊,135.9500,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田県消防防災航空隊01,131.8750,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田県消防防災航空隊02,153.9100,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田県消防防災航空隊03,398.9250,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
ANA/IBX/ADO/ORC,129.1000,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
JAL/JTA/JAR,130.1000,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
TOK,123.5000,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
エアリサーチ,129.5500,AXT/RJSK,AIR,company,AM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
ANA,149.5300,AXT/RJSK,AIR,grand,FM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田空港管理事務所,153.4900,AXT/RJSK,AIR,grand,FM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
秋田空港ターミナルビル,3B,AXT/RJSK,AIR,grand,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
航空局,153.4500,AXT/RJSK,AIR,grand,FM,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
VOR,110.65MHz,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
DME,1130.0000,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
ILS-LOC 28,108.9MHz,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
ILS-GP 28,329.3MHz,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
ILS-DME 28,987MHz,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
MSAS,1575.42MHz,AXT/RJSK,AIR,ILS,,秋田,"AXR,RJSK,秋田,東北",,39.6128,140.22
