name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
千歳TWR01,118.8,CTS/RJCC,AIR,TWR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳TWR02,126.2,CTS/RJCC,AIR,TWR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳APP/RDR,120.1,CTS/RJCC,AIR,APP/RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳DEP/APP,124.7,CTS/RJCC,AIR,DEP/APP,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳RDR01,119.1,CTS/RJCC,AIR,RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳RDR02,119.5,CTS/RJCC,AIR,RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳RDR03,124,CTS/RJCC,AIR,RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳RDR04,125.3,CTS/RJCC,AIR,RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳RDR05,134.1,CTS/RJCC,AIR,RDR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳TCA01,127.7,CTS/RJCC,AIR,TCA,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳TCA02,256.1,CTS/RJCC,AIR,TCA,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳GND(国内線側),121.6,CTS/RJCC,AIR,GND,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳GND(基地側),121.7,CTS/RJCC,AIR,GND,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳GND(国際線側),121.95,CTS/RJCC,AIR,GND,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
千歳CLR,121.9,CTS/RJCC,AIR,CLR,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ATIS,128.6,CTS/RJCC,AIR,ATIS,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ANA/ADO/IBEX/APJ/SKY/SFJ/SNJ,130.45,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
NTH,131.85,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
JAL系/海外機,132.05,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ADO,123.675,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
FDA,129,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
フジビジネスジェット,129,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
SKY,130.25,CTS/RJCC,AIR,company,AM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ANA01,149.53,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ANA02,364.475,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
ANA03,3B,CTS/RJCC,AIR,grand,,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
JAL,372.45,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
セノン,3B,CTS/RJCC,AIR,grand,,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
北海道空港,3B,CTS/RJCC,AIR,grand,,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
北海道エアポート01,149.45,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
北海道エアポート02,153.45,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
北海道エアポート03,154.29,CTS/RJCC,AIR,grand,FM,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
北海道エアポート04,3R 3T,CTS/RJCC,AIR,grand,,千歳,"千歳,札幌,北海道,CTS,RJCC",,42.463,141.4132
