name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO01,118.0500,FKS/RJSF,AIR,RDO,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
RDO02,126.2000,FKS/RJSF,AIR,RDO,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
東京CON01,118.9000,FKS/RJSF,AIR,CON,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
東京CON02,276.8000,FKS/RJSF,AIR,CON,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
東京CON03,127.6500,FKS/RJSF,AIR,CON,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
東京CON04,303.4000,FKS/RJSF,AIR,CON,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島県消防防災航空隊01,131.8750,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島県消防防災航空隊02,149.3700,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島県消防防災航空隊03,398.9250,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島県消防防災航空隊基地局,147.2400,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島県消防防災航空隊移動局,143.2400,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
ANA/IBX,129.1000,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
アルファーアビエイション,129.0000,FKS/RJSF,AIR,company,AM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
ANA,149.5300,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
アルファーアビエイション,153.0900,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島空港管理事務所,154.2100,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
福島空港ビル,3B,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
航空局,153.4500,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
遭難対策無線,166.2300,FKS/RJSF,AIR,grand,FM,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
VOR,113.45MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
DME,1042MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
ILS-LOC 01,110.5MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
ILS-GP 01,329.6MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
ILS-DME 01,1003MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
MSAS,1575.42MHz,FKS/RJSF,AIR,ILS,,福島,"FKS,RJSF,福島,東北",,37.2272,140.4327
