name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO01,118.0000,FSZ/RJNS,AIR,RDO,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
RDO02,126.2000,FSZ/RJNS,AIR,RDO,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
東京CON01,123.7000,FSZ/RJNS,AIR,CON,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
東京CON02,134.1500,FSZ/RJNS,AIR,CON,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
東京CON03,315.9000,FSZ/RJNS,AIR,CON,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
東京CON04,227.3000,FSZ/RJNS,AIR,CON,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ANA,129.1000,FSZ/RJNS,AIR,company,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
FDA/SFJ,122.4250,FSZ/RJNS,AIR,company,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
フジビジネスジェット,13.3500,FSZ/RJNS,AIR,company,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
静岡エアコミュータ,130.1500,FSZ/RJNS,AIR,company,AM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ANA,149.5300,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
FDA/SFJ,3R,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
中国東方航空,3B,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
富士山静岡空港01,153.0900,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
富士山静岡空港02,3B,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
航空局/気象庁,153.4500,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ALSOK,3B,FSZ/RJNS,AIR,grand,FM,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
VOR,110.65MHz,FSZ/RJNS,AIR,ILS,,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
DME,1130MHz,FSZ/RJNS,AIR,ILS,,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ILS-LOC 30,109.3MHz,FSZ/RJNS,AIR,ILS,,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ILS-GP 30,332MHz,FSZ/RJNS,AIR,ILS,,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
ILS-DME 30,991MHz,FSZ/RJNS,AIR,ILS,,静岡,"FZS,RJNS,静岡,富士山静岡,中部",,34.7960,138.1880
