name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
函館TWR01,118.3500,HKD/RJCH,AIR,TWR,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
函館TWR02,126.2000,HKD/RJCH,AIR,TWR,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
白神APP01,120.8500,HKD/RJCH,AIR,APP,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
白神APP02,120.6500,HKD/RJCH,AIR,APP,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ATIS,126.6000,HKD/RJCH,AIR,ATIS,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
海上保安庁01,130.3000,HKD/RJCH,AIR,company,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
海上保安庁02,134.5000,HKD/RJCH,AIR,company,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ANA/ADO,129.8500,HKD/RJCH,AIR,company,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
JAL/NTH/FDA/TOK,131.8500,HKD/RJCH,AIR,company,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
朝日航洋,129.6000,HKD/RJCH,AIR,company,AM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ANA/ADO,149.5300,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ADO,3B,HKD/RJCH,AIR,grand,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
北海道エアポート01,149.4500,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
北海道エアポート02,153.4500,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
北海道エアポート03,154.2900,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
北海道エアポート04,3R 3T,HKD/RJCH,AIR,grand,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
航空局,153.4500,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
気象庁01,153.4500,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
気象庁02,154.2900,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
KAFCO,414.6000,HKD/RJCH,AIR,grand,FM,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
VOR,112.3MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
DME,1157MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ILS-LOC 12,109.3MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ILS-GP 12,332.0MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
ILS-DME 12,991MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
MSAS,1575.42MHz,HKD/RJCH,AIR,ILS,,函館,"函館,北海道,HKD,RJCH",,41.77564,140.81579
