name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
東京TWR(RWY-A),118.1,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR(RWY-B),118.575,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR(RWY-C/RWY23),124.35,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR(RWY-D),118.725,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR05,118.8,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR06,126.2,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京TWR07,236.8,HND/RJTT,AIR,TWR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP01(羽田),119.1,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP02(羽田),119.4,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP03,119.65,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP04,119.7,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP05,125.4,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP06,232.2,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP07,261.2,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP08,121.275,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP09(成田,124.4,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP10,125.2,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP11,125.8,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP12(成田),127.7,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京APP13,225.65,HND/RJTT,AIR,APP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP01(羽田）,126,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP02(羽田),120.8,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP03,127.6,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP04(成田),124.2,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP05(成田),119.6,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP06,120.6,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京DEP07,125.525,HND/RJTT,AIR,DEP,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京CLR01,121.825,HND/RJTT,AIR,CLR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
東京CLR02,121.875,HND/RJTT,AIR,CLR,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
ATIS,128.8,HND/RJTT,AIR,ATIS,AM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
