name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
茨城TWR01,323.8000,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR02,236.8000,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR03,118.0250,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR04,126.2000,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR05,138.0500,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR06,247.0000,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城TWR07,123.1000,IBR/RJAH,AIR,TWR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城APP/RDR01,362.3000,IBR/RJAH,AIR,APP/RDR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城APP/RDR02,305.7000,IBR/RJAH,AIR,APP/RDR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城APP/RDR03,261.2000,IBR/RJAH,AIR,APP/RDR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城APP/RDR04,120.1000,IBR/RJAH,AIR,APP/RDR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城APP/RDR05,123.8750,IBR/RJAH,AIR,APP/RDR,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城DEP01,362.3000,IBR/RJAH,AIR,DEP,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城DEP02,120.1000,IBR/RJAH,AIR,DEP,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA01,270.8000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA02,335.6000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA03,289.9000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA04,300.4000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA05,306.2000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA06,310.8000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA07,321.2000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA08,125.3000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA09,127.9750,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城RDR/GCA10,134.1000,IBR/RJAH,AIR,RDR/GCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城GND01,275.8000,IBR/RJAH,AIR,GND,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城GND02,247.8000,IBR/RJAH,AIR,GND,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城GND03,119.5000,IBR/RJAH,AIR,GND,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城GND04,126.2000,IBR/RJAH,AIR,GND,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
TCA,124.8000,IBR/RJAH,AIR,TCA,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
SKY,123.6750,IBR/RJAH,AIR,company,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城県警察航空隊,135.9500,IBR/RJAH,AIR,company,AM,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
航空機安全運航支援センター,3R,IBR/RJAH,AIR,grand,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
羽田タートルサービス,3B,IBR/RJAH,AIR,grand,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
茨城空港利用促進協議会,3R,IBR/RJAH,AIR,grand,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
航空保安協会,3B,IBR/RJAH,AIR,grand,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
VOR,113.3MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
TACACN,1167MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
ILS-LOC 03R,109.3MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
ILS-GP 03R,332.0MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
ILS-DME 03R,991.0MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
MSAS,1575.42MHz,IBR/RJAH,AIR,ILS,,茨城,"IBR,RJAH,茨城,関東",,36.1777,140.4076
