name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
大阪TWR01,118.1000,ITM/RJOO,AIR,TWR,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
大阪TWR02,126.2000,ITM/RJOO,AIR,TWR,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
大阪TWR03,236.8000,ITM/RJOO,AIR,TWR,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
関西APP01,120.4500,ITM/RJOO,AIR,APP,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
関西APP02,124.7000,ITM/RJOO,AIR,APP,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
関西APP03,261.2000,ITM/RJOO,AIR,APP,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
関西DEP,119.5000,ITM/RJOO,AIR,DEP,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
大阪GND01,121.7000,ITM/RJOO,AIR,GND01,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
大阪GND02,126.2000,ITM/RJOO,AIR,GND02,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
大阪CLR,118.8000,ITM/RJOO,AIR,CLR,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
ATIS,128.6000,ITM/RJOO,AIR,AITS,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
兵庫県警察航空隊,135.9500,ITM/RJOO,AIR,company,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
ANA/IBX/SFJ/SNJ/ADO/APJ/ORC,130.4500,ITM/RJOO,AIR,company,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
JAL/AHX,131.8500,ITM/RJOO,AIR,company,AM,伊丹,"ITM,RJOO,大阪国際,伊丹,大阪,兵庫,関西,近畿",,34.7844,135.4391
