name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
岩国TWR01,340.2000,IWK/RJOI,AIR,TWR,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
岩国TWR02,123.8000,IWK/RJOI,AIR,TWR,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
岩国APP01,236.2000,IWK/RJOI,AIR,APP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",西,34.1588,132.2346
岩国APP02,250.6000,IWK/RJOI,AIR,APP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",東,34.1588,132.2346
岩国APP03,131.4000,IWK/RJOI,AIR,APP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",西,34.1588,132.2346
岩国APP04,128.0000,IWK/RJOI,AIR,APP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",東,34.1588,132.2346
岩国DEP01,363.8000,IWK/RJOI,AIR,DEP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
岩国DEP02,131.4000,IWK/RJOI,AIR,DEP,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
岩国GND01,360.2000,IWK/RJOI,AIR,GND,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
岩国GND02,121.3000,IWK/RJOI,AIR,GND,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
DISPATCH01,258.6000,IWK/RJOI,AIR,DISPATCH,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
DISPATCH02,134.1000,IWK/RJOI,AIR,DISPATCH,AM,岩国,"IWK/RJOI/岩国飛行場,岩国,岩国錦帯橋,中国・四国,中国,山口",,34.1588,132.2346
