name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
新潟TWR01,118.0000,KIJ/RJSN,AIR,TWR,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟TWR02,126.2000,KIJ/RJSN,AIR,TWR,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟APP/RDR,121.4000,KIJ/RJSN,AIR,APP/RDR,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟DEP,261.2000,KIJ/RJSN,AIR,DEP,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ATIS,128.4500,KIJ/RJSN,AIR,ATIS,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟県警察航空隊,135.9500,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟県消防防災航空隊01,149.6500,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟県消防防災航空隊02,382.9250,KIJ/RJSN,AIR,company,FM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟県消防防災航空隊03,130.3000,KIJ/RJSN,AIR,company,FM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
海上保安庁01,134.5000,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
海上保安庁02,129.1000,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ANA/IBX/ADO/FDA,131.8500,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
TOK,123.5000,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
中日本航空,131.3000,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
エアロトヨタ,129.6000,KIJ/RJSN,AIR,company,AM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ANA/IBX/ADO/FDA,149.5300,KIJ/RJSN,AIR,grand,FM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
航空局/気象庁,153.4500,KIJ/RJSN,AIR,grand,FM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
航空局,154.2900,KIJ/RJSN,AIR,grand,FM,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
大韓航空,3B,KIJ/RJSN,AIR,grand,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
新潟綜合警備保障,3B,KIJ/RJSN,AIR,grand,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
VOR,15.5MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
TACAN,1189MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ILS-LOC 28,109.3MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ILS-GP 28,332.0MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
ILS-DME 28,991MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
MSAS,1575.42MHz,KIJ/RJSN,AIR,ILS,,新潟,"LKIJ,RJSN,新潟,中部",,37.9558,139.1206
