name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
小松TWR01,236.8000,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR02,126.2000,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR03,304.8000,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR04,118.2580,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR05,247.0000,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR06,138.0500,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TWR07,123.1000,KMQ/RJNK,AIR,TWR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松APP/RDR01,261.2000,KMQ/RJNK,AIR,APP/RDR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松APP/RDR02,120.1000,KMQ/RJNK,AIR,APP/RDR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松APP/RDR03,121.2500,KMQ/RJNK,AIR,APP/RDR,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松DEP01,362.3000,KMQ/RJNK,AIR,DEP,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松DEP02,120.1000,KMQ/RJNK,AIR,DEP,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松DEP03,121.2500,KMQ/RJNK,AIR,DEP,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TCA01,127.9500,KMQ/RJNK,AIR,TCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松TCA02,292.2000,KMQ/RJNK,AIR,TCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松GND01,275.8000,KMQ/RJNK,AIR,GND,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松GND02,121.7000,KMQ/RJNK,AIR,GND,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA01,335.6000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA02,270.8000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA03,134.1000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA04,125.3000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA05,315.0000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA06,300.7000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA07,304.6000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA08,247.3000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA09,302.2000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
小松RDR/GCA10,319.0000,KMQ/RJNK,AIR,RDR/GCA,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
"ANA,IBX,ORC",129.1000,KMQ/RJNK,AIR,company,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
JTA,131.8500,KMQ/RJNK,AIR,company,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
中日本航空,131.3000,KMQ/RJNK,AIR,company,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
石川県消防防災航空隊01,131.9250,KMQ/RJNK,AIR,company,AM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
石川県消防防災航空隊02,382.9250,KMQ/RJNK,AIR,company,FM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
ANA,149.5300,KMQ/RJNK,AIR,grand,FM,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
航空保安協会,3B,KMQ/RJNK,AIR,grand,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
大韓航空,3B,KMQ/RJNK,AIR,grand,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
中国東方航空,3B,KMQ/RJNK,AIR,grand,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
VOR,112.0MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
TACAN,1018MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
ILS-LOC 06,110.1MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
ILS-GP 06,334.4MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
ILS-DME 06,999MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
MSAS,1575.42MHz,KMQ/RJNK,AIR,ILS,,小松,"KMQ,RJNK,小松,石川,中部",,36.4020,136.4150
