name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
女満別TWR01,118.8500,"MMB,RJCM",AIR,TWR,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
女満別TWR02,126.2000,"MMB,RJCM",AIR,TWR,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
日高APP01,128.3250,"MMB,RJCM",AIR,APP,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
日高APP02,246.1000,"MMB,RJCM",AIR,APP,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
日高APP03,134.5500,"MMB,RJCM",AIR,APP,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ANA/ADO/APJ,129.1000,"MMB,RJCM",AIR,conmany,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
JAL/NTH,130.1000,"MMB,RJCM",AIR,conmany,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道空港,123.5000,"MMB,RJCM",AIR,conmany,AM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ANA/ADO/APJ,149.5300,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道エアポート01,149.4500,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道エアポート02,153.4500,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道エアポート03,154.2900,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道エアポート04,364.5000,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
北海道エアポート05,3R 3T,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
航空局,153.4500,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
気象庁01,153.4500,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
気象庁02,154.2900,"MMB,RJCM",AIR,grand,FM,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
VOR,110.85MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
DME,1132MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-LOC 18,110.1MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-GP 18,334.4MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-DME 18,999MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-LOC 36,110.3MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-GP 36,335MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
ILS-DME,1001MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
MSAS,1575.42MHz,"MMB,RJCM",AIR,ILS,,女満別,"MMB,RJCM,女満別,北海道",,43.8822,144.1667
