name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
三沢TWR01,315.8000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR02,236.8000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR03,236.6000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR04,126.2000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR05,118.1000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR06,138.0500,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR07,247.0000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TWR08,123.1000,MSJ/RJSM,AIR,TWR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢APP/RDR01,317.8000,MSJ/RJSM,AIR,APP/RDR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢APP/RDR02,261.2000,MSJ/RJSM,AIR,APP/RDR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢APP/RDR03,362.3000,MSJ/RJSM,AIR,APP/RDR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢APP/RDR04,120.7000,MSJ/RJSM,AIR,APP/RDR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢APP/RDR05,120.1000,MSJ/RJSM,AIR,APP/RDR,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TCA01,124.0500,MSJ/RJSM,AIR,TCA,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢TCA02,288.1000,MSJ/RJSM,AIR,TCA,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢DEP01,363.8000,MSJ/RJSM,AIR,DEP,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
三沢DEP02,125.3000,MSJ/RJSM,AIR,DEP,AM,三沢,"MSJ,RJSM,三沢飛行場,三沢,東北",,40.7052,141.3719
