name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
セントレアTWR01,118.5000,NGO/RJGG,AIR,TWR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTWR02,126.2000,NGO/RJGG,AIR,TWR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTWR03,126.2000,NGO/RJGG,AIR,TWR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアAPP01,121.0500,NGO/RJGG,AIR,APP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアAPP02,228.4000,NGO/RJGG,AIR,APP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアAPP03,119.1750,NGO/RJGG,AIR,APP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアAPP04,245.3000,NGO/RJGG,AIR,APP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアRDR01,125.5500,NGO/RJGG,AIR,RDR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアRDR02,121.2250,NGO/RJGG,AIR,RDR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアDEP01,120.0000,NGO/RJGG,AIR,DEP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアDEP02,225.2000,NGO/RJGG,AIR,DEP,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアGND01,121.8000,NGO/RJGG,AIR,GND,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアGND02,126.2000,NGO/RJGG,AIR,GND,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアCLR01,121.8500,NGO/RJGG,AIR,CLR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアCLR02,126.2000,NGO/RJGG,AIR,CLR,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTCA01,119.2500,NGO/RJGG,AIR,TCA,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTCA02,321.2000,NGO/RJGG,AIR,TCA,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTCA03,121.1750,NGO/RJGG,AIR,TCA,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
セントレアTCA04,318.0000,NGO/RJGG,AIR,TCA,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ATIS,127.0750,NGO/RJGG,AIR,ATIS,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
海上保安庁01,130.3000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
海上保安庁02,134.5000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ANA/IBX/ADO/SNJ/SFJ/APJ/ORC,130.9600,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
JAL/JAR/JAC/JTA/FDA/TZP,131.8500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
SKY,123.6750,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
WSJ,129.9000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
日本空港無線サービス,132.0500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話01,460.0500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話02,460.1000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話03,460.6500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話04,460.8500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話05,460.9000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話06,461.0500,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
空港デジタル無線電話07,461.1000,NGO/RJGG,AIR,company,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
日本航空,372.4500,NGO/RJGG,AIR,grand,AM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
アシアナ航空,468.0000,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
タイエアウェイズ,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
シンガポール航空,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
中国南方航空,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
豊警備保障,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
名古屋エアケータリング,415.0500,NGO/RJGG,AIR,grand,FM,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ドリームスカイ名古屋,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
中部スカイサポート,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
出入国在留管理庁,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
国土交通省,3B,NGO/RJGG,AIR,grand,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
VOR,117.8MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
DME,1212MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-LOC 18(CAT II),109.7MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-GP 18,333.2MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-DME 18,995MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-LOC 36(CAT III),111.9MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-GP 36,331.MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
ILS-DME 36,1017MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
MSAS,1575.42MHz,NGO/RJGG,AIR,ILS,,セントレア,"NGO,RJGG,中部国際空港,セントレア,愛知,中部",,34.8583,136.8052
