name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
名古屋TWR01,236.8000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR02,3005.7000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR03,118.7000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR04,122.7000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR05,247.0000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR06,138.0500,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋TWR07,123.1000,NKM/RJNA,AIR,TWR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアTCA01,119.2500,NKM/RJNA,AIR,TCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアTCA02,321.2000,NKM/RJNA,AIR,TCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアTCA03,121.1750,NKM/RJNA,AIR,TCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアTCA04,318.0000,NKM/RJNA,AIR,TCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GND01,275.7000,NKM/RJNA,AIR,GND,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GND02,121.7000,NKM/RJNA,AIR,GND,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋CLR01,258.9000,NKM/RJNA,AIR,CLR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋CLR02,121.7500,NKM/RJNA,AIR,CLR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA01,270.8000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA02,335.6000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA03,239.3000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA04,134.1000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA05,119.1000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋GCA06,120.3000,NKM/RJNA,AIR,GCA,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアAPP01,121.0500,NKM/RJNA,AIR,APP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアAPP02,228.4000,NKM/RJNA,AIR,APP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアAPP03,119.1750,NKM/RJNA,AIR,APP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアAPP04,245.3000,NKM/RJNA,AIR,APP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアRDR01,121.2250,NKM/RJNA,AIR,RDR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアRDR02,227.2000,NKM/RJNA,AIR,RDR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアRDR03,125.5500,NKM/RJNA,AIR,RDR,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアDEP01,121.2250,NKM/RJNA,AIR,DEP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアDEP02,227.2000,NKM/RJNA,AIR,DEP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアDEP03,119.1750,NKM/RJNA,AIR,DEP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントレアDEP04,245.3000,NKM/RJNA,AIR,DEP,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
愛知県警察航空隊,135.9500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
FDA,123.6750,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
フジビジネスジェット,123.6750,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
エアロトヨタ,129.6000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セコ・インターナショナル,129.0000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
JAXA,129.9500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
新日本ヘリコプター,129.4250,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
愛知県防災航空隊01,131.9250,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
愛知県防災航空隊02,149.6500,NKM/RJNA,AIR,company,FM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
愛知県防災航空隊03,383.6500,NKM/RJNA,AIR,company,FM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
共立航空撮影,130.1500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントラルヘリコプターサービス01,122.4000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
セントラルヘリコプターサービス02,130.1500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
中日本航空01,122.4000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
中日本航空02,131.3000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
中日本航空03,3749KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
中日本航空04,5625KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
中日本航空05,8885KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋市消防航空隊01,131.1500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋市消防航空隊02,382.9250,NKM/RJNA,AIR,company,FM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス01,122.4000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス02,130.1500,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス03,345.0000,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス04,3074KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス05,3479KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス06,5625KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス07,6690KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス08,8885KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
ダイアモンドエアサービス09,15097KHz,NKM/RJNA,AIR,company,AM,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
名古屋空港管理事務所01,462.0500,NKM/RJNA,AIR,grand,Ｄ,名古屋,"NKM,RJNA,名古屋飛行場,県営名古屋,小牧,愛知,中部",,35.2538,136.9198
