name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
成田TWR01,118.2000,NRT/RJAA,AIR,TWR,AM,成田,"NRT,RJAA,東京,成田,関東",RWY-A,35.7649,140.3884
成田TWR02,118.3500,NRT/RJAA,AIR,TWR,AM,成田,"NRT,RJAA,東京,成田,関東",RWY-B,35.7649,140.3884
成田TWR03,122.7000,NRT/RJAA,AIR,TWR,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田TWR04,126.2000,NRT/RJAA,AIR,TWR,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田TWR05,236.8000,NRT/RJAA,AIR,TWR,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京APP01,124.4000,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",南方面,35.7649,140.3884
東京APP02,121.2750,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京APP03,125.2000,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京APP04,125.8000,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京APP05,127.7000,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",北方面,35.7649,140.3884
東京APP06,255.6500,NRT/RJAA,AIR,APP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京DEP01,124.2000,NRT/RJAA,AIR,DEP,AM,成田,"NRT,RJAA,東京,成田,関東",南方面,35.7649,140.3884
東京DEP02,119.6000,NRT/RJAA,AIR,DEP,AM,成田,"NRT,RJAA,東京,成田,関東",北方面,35.7649,140.3884
東京DEP03,120.6000,NRT/RJAA,AIR,DEP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京DEP04,125.5250,NRT/RJAA,AIR,DEP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京DEP05,127.5000,NRT/RJAA,AIR,DEP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京RDR,120.2000,NRT/RJAA,AIR,RDR,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
TCA01,119.4500,NRT/RJAA,AIR,TCA,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
TCA02,246.1000,NRT/RJAA,AIR,TCA,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田GND01,121.9500,NRT/RJAA,AIR,GND01,AM,成田,"NRT,RJAA,東京,成田,関東","RWY-A,1タミ周辺",35.7649,140.3884
成田GND02,121.8500,NRT/RJAA,AIR,GND,AM,成田,"NRT,RJAA,東京,成田,関東","RWY-B,2・3タミ周辺",35.7649,140.3884
成田CLR01,121.9000,NRT/RJAA,AIR,CLR,AM,成田,"NRT,RJAA,東京,成田,関東",アジア・太平洋周辺,35.7649,140.3884
成田CLR02,121.6500,NRT/RJAA,AIR,CLR,AM,成田,"NRT,RJAA,東京,成田,関東",米・欧州法眼,35.7649,140.3884
ATIS,128.2500,NRT/RJAA,AIR,AITI,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
RAMP01,121.6000,NRT/RJAA,AIR,RAMP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
RAMP02,121.7500,NRT/RJAA,AIR,RAMP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
RAMP03,118.1500,NRT/RJAA,AIR,RAMP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
RAMP04,121.7000,NRT/RJAA,AIR,RAMP,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ANA/IBX/APJ/NCA01,130.4500,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ANA/IBX/APJ/NCA02,131.0250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
JAL/JJP,131.2000,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス01,130.4500,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス02,130.5500,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス03,130.9000,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス04,131.1000,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス05,131.2000,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス06,131.7000,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本空港無線サービス07,131.7500,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
千葉県警察航空隊,135.9500,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話01,460.3250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話02,460.3750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話03,460.4250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話04,460.4750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話05,460.5250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話06,460.5850,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話07,460.6250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話08,460.6750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話09,460.7250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話10,460.7750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話11,460.8250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話12,460.8750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話13,460.9250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話14,460.9750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話15,461.0250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話16,461.0750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話17,461.1250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話18,461.1450,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話19,461.2250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話20,461.3250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話21,461.3750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話22,461.4250,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
空港デジタル無線電話23,461.4750,NRT/RJAA,AIR,company,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
JAL,3R,NRT/RJAA,AIR,grand,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ANA,3R,NRT/RJAA,AIR,grand,AM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田国際空港01,149.4500,NRT/RJAA,AIR,grand,FM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田国際空港02,149.4900,NRT/RJAA,AIR,grand,FM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田国際空港03,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ANAスカイサービス,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
航空保安協会,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ANAケータリングサービス,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田空港警備,372.7750,NRT/RJAA,AIR,grand,FM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
KSP,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
KSP-EAST,3B 3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
JALエービーシー,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
国際空港上屋,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
出入国在留管理庁,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
エージーピー,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
I-SEC Japan,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
DHLジャパン,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
成田カーゴサービス,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
日本貨物航空,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
新空港設備,3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
中国東方航空,3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
中国南方航空,3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
長栄航空,3R,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
エアポートメンテナンスサービス,3B,NRT/RJAA,AIR,grand,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京空港交通(基地局),398.9500,NRT/RJAA,AIR,grand,FM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
東京空港交通(移動局),392.9500,NRT/RJAA,AIR,grand,FM,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
VOR,119.9MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",NRE,35.7649,140.3884
DME,1213MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",NRE,35.7649,140.3884
ILS-LOC 16R,111.5MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",IKF,35.7649,140.3884
ILS-GP 16R,332.9MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ILS-DME 16R,1013MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",IKF,35.7649,140.3884
IM 16R,75MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ILS-LOC 34L,111.9MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",IYQ,35.7649,140.3884
ILS-GP 34L,331.1MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ILS DME 34L,1017MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",IYQ,35.7649,140.3884
ILS-LOC  16L,110.7MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",ITM,35.7649,140.3884
ILS-GP 16L,330.2MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ILS-DME 16L,1005MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",ITM,35.7649,140.3884
ILS-LOC 34R,110.9MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",ITJ,35.7649,140.3884
ILS-GP 34R,330.8MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
ILS-DME 34R,1007MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",ITJ,35.7649,140.3884
DME,1174MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",SND,35.7649,140.3884
MSAS,1575.42MHz,NRT/RJAA,AIR,ILS,,成田,"NRT,RJAA,東京,成田,関東",,35.7649,140.3884
