name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
帯広TWR01,118.7000,OBO/RJCB,AIR,TWR,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
帯広TWR02,126.2000,OBO/RJCB,AIR,TWR,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
帯広TWR03,123.6000,OBO/RJCB,AIR,TWR,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
日高APP01,128.3250,OBO/RJCB,AIR,APP,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
日高APP02,246.1000,OBO/RJCB,AIR,APP,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
日高APP03,134.5500,OBO/RJCB,AIR,APP,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
JAL/HAC/FDA,130.1000,OBO/RJCB,AIR,company,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
ADO,123.6750,OBO/RJCB,AIR,company,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
航空大学,123.4000,OBO/RJCB,AIR,company,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
府中エアサービス,129.4500,OBO/RJCB,AIR,company,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道警察航空隊,135.9500,OBO/RJCB,AIR,company,AM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
ADO,462.0500,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道エアポート01,149.4500,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道エアポート02,153.4500,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道エアポート03,154.2900,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道エアポート04,157.6100,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
北海道エアポート05,3R 3T,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
航空局,153.4500,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
気象庁01,153.4500,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
気象庁02,154.2900,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
航空大学,158.6900,OBO/RJCB,AIR,grand,FM,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
VOR,109.65MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
DME,1120MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
ILS-LOC 35,111.7MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
ILS-GP 35,333.5MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
ILS-DME 345,1015MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
MSAS,1575.42MHz,OBO/RJCB,AIR,ILS,,帯広,"OBO,RJCB,北海道,帯広空港,とかち帯広空港,北海道",,42.7312,143.2155
