name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
丘珠TWR01,119.2250,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠TWR02,315.9000,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠TWR03,121.0750,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠TWR04,315.9000,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠TWR05,126.2000,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠TWR06,118.1000,OKD/RJCO,AIR,TWR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠APP/RDR01,140.5000,OKD/RJCO,AIR,APP/RDR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠APP/RDR02,138.0500,OKD/RJCO,AIR,APP/RDR,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠DEP01,304.8000,OKD/RJCO,AIR,DEP,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠DEP02,123.1000,OKD/RJCO,AIR,DEP,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GND,121.8000,OKD/RJCO,AIR,GND,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GCA01,120.3000,OKD/RJCO,AIR,GCA,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GCA02,133.0000,OKD/RJCO,AIR,GCA,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GCA03,138.3000,OKD/RJCO,AIR,GCA,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GCA04,122.3500,OKD/RJCO,AIR,GCA,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
丘珠GCA05,304.6000,OKD/RJCO,AIR,GCA,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道警察航空隊,135.9500,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道防災航空隊01,131.8750,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道防災航空隊02,151.9900,OKD/RJCO,AIR,company,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道防災航空隊03,153.2500,OKD/RJCO,AIR,company,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道防災航空隊04,383.6500,OKD/RJCO,AIR,company,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
JAL/NTH/TOK,130.1750,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
FDA,130.3500,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
フジビジネスジェット,130.3500,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
TOK,123.5000,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
朝日航洋,129.6000,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
北海道航空,128.9000,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
中日本航空,130.0500,OKD/RJCO,AIR,company,AM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
NTH,465 468,OKD/RJCO,AIR,grand,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
KAFCO,414.6000,OKD/RJCO,AIR,grand,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
航空保安協会,3B,OKD/RJCO,AIR,grand,FM,札幌,"OKD,RJCO,札幌飛行場,丘珠,北海道,札幌",,43.1175,141.3814
