name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO,122.7000,RIS/RJER,AIR,RDO,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
東京CON01,132.6000,RIS/RJER,AIR,CON,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
東京CON02,255.2000,RIS/RJER,AIR,CON,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
東京CON03,134.2500,RIS/RJER,AIR,CON,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
東京CON04,260.4000,RIS/RJER,AIR,CON,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
ANA,129.8500,RIS/RJER,AIR,company,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
JAL/NTH,130.1750,RIS/RJER,AIR,company,AM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
ANA,149.5300,RIS/RJER,AIR,grand,FM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
NTH,150.6500,RIS/RJER,AIR,grand,FM,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
VOR,114.6MHz,RIS/RJER,AIR,ILS,,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
DME,1180MHz,RIS/RJER,AIR,ILS,,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
LOC 25,109.3MHz,RIS/RJER,AIR,ILS,,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
LOC-DME 25,991MHz,RIS/RJER,AIR,ILS,,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
MSAS,1575.42MHz,RIS/RJER,AIR,ILS,,利尻,"RIS,RJER,利尻,北海道",,45.2419,141.1875
