name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
仙台TWR01,118.7000,SDJ/RJSS,AIR,TWR,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台TWR02,126.2000,SDJ/RJSS,AIR,TWR,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台APP01,120.4000,SDJ/RJSS,AIR,TWR,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台APP02,261.2000,SDJ/RJSS,AIR,TWR,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
RDR,121.2000,SDJ/RJSS,AIR,RDR,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台DEP,120.0000,SDJ/RJSS,AIR,DEP,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
TCA01,121.0250,SDJ/RJSS,AIR,TCA,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
TCA02,225.2000,SDJ/RJSS,AIR,TCA,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台GND,121.7000,SDJ/RJSS,AIR,GND,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ATIS,126.4500,SDJ/RJSS,AIR,ATIS,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
RDO,118.7000,SDJ/RJSS,AIR,RDO,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
宮城県防災航空隊01,131.9750,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
宮城県防災航空隊02,150.9100,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
宮城県防災航空隊03,153.2300,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
宮城県防災航空隊04,383.9250,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台市消防航空隊01,131.1500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台市消防航空隊02,398.9250,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
海上保安庁01,130.3000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
海上保安庁02,134.5000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ANA/ADO/IBX/SFJ/APJ/SNJ/ORC,130.6000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
JAL/JAR/JTA/TOK,131.8500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
SKY,123.6750,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
TOK,123.4500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
FDA,129.2500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
東邦航空,130.8500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
オールニッポンヘリコプター,129.8500,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
東北エアサービス,129.9000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
航空大学,123.4000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
海上・港湾・航空技術研究所,122.3000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ジャムコ,122.4000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
スカイネットアカデミー,123.5000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
アジア航測,128.9000,SDJ/RJSS,AIR,company,AM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ANA,149.5300,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台国際空港01,153.4500,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
仙台国際空港02,3R,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ジェイ・エス・エス,3B,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
東北エアサービス,3B,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
パシフィック,3R,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
海上・港湾航空技術研究所,153.4500,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
航空局,153.4500,SDJ/RJSS,AIR,grand,FM,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
VOR,116.3MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
DME,1197MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ILS-LOC 27,111.7MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ILS-GP 27,333.5MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
ILS-DME 27,1015MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
MSAS,1575.42MHz,SDJ/RJSS,AIR,ILS,,仙台,"SDJ,RJSS,仙台,宮城,東北",,38.1369,140.9225
