name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO,122.7000,SHB/RJCN,AIR,RDO,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
日高APP01,28.3250,SHB/RJCN,AIR,APP,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
日高APP02,246.1000,SHB/RJCN,AIR,APP,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
日高APP03,134.5500,SHB/RJCN,AIR,APP,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
ANA/ADO,129.8500,SHB/RJCN,AIR,company,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
JAL/HAC,130.1750,SHB/RJCN,AIR,company,AM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
ANA,149.5300,SHB/RJCN,AIR,grand,FM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
航空局,153.4500,SHB/RJCN,AIR,grand,FM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
気象庁,154.2900,SHB/RJCN,AIR,grand,FM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
中標津空港管理事務所,364.5000,SHB/RJCN,AIR,grand,FM,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
VOR,111.45MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
DME,1138MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
ILS-LOC 08,109.35MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
ILS-GP 08,331.85MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
ILS-DME 08,1117MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
MSAS,1575.42MHz,SHB/RJCN,AIR,ILS,,中標津,"SHB,RJCN,中標津,北海道",,43.5771,144.9560
