name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO01,118.5500,SHM/RJBD,AIR,RDO,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
RDO02,126.2000,SHM/RJBD,AIR,RDO,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
東京CON01,133.5000,SHM/RJBD,AIR,CON,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
東京CON02,127.3000,SHM/RJBD,AIR,CON,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
東京CON03,227.6000,SHM/RJBD,AIR,CON,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
東京CON04,255.3000,SHM/RJBD,AIR,CON,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
JAL,130.1000,SHM/RJBD,AIR,company,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
ヒラタ学園,129.8000,SHM/RJBD,AIR,company,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
加賀エアロシステム,129.4250,SHM/RJBD,AIR,company,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
和歌山県警察航空隊,135.9500,SHM/RJBD,AIR,company,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
和歌山県防災航空隊01,131.9750,SHM/RJBD,AIR,company,AM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
和歌山県防災航空隊02,147.3000,SHM/RJBD,AIR,company,FM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
和歌山県防災航空隊03,398.9250,SHM/RJBD,AIR,company,FM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
南紀白浜エアポート01,153.4500,SHM/RJBD,AIR,grand,FM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
南紀白浜エアポート02,157.3100,SHM/RJBD,AIR,grand,FM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
南紀白浜エアポート03,3B,SHM/RJBD,AIR,grand,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
航空局/気象庁,153.4500,SHM/RJBD,AIR,grand,FM,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
VOR,109.05MHz,SHM/RJBD,AIR,ILS,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
DME,1114MHz,SHM/RJBD,AIR,ILS,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
LOC 15,108.55MHz,SHM/RJBD,AIR,ILS,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
LOC -DME 15,1109MHz,SHM/RJBD,AIR,ILS,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
MSAS,1575.42MHz,SHM/RJBD,AIR,ILS,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
,,,,,,南紀白浜,"SHM,RJBD,南紀白浜,熊野白浜リゾート,和歌山,近畿,関西",,33.6622,135.3644
