name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
高松TWR01,118.3000,TAK/RJOT,AIR,TWR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
高松TWR02,126.2000,TAK/RJOT,AIR,TWR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
高松TWR03,135.9000,TAK/RJOT,AIR,TWR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
高松TWR04,261.2000,TAK/RJOT,AIR,TWR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西APP/RDR01,121.2000,TAK/RJOT,AIR,APP/RDR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西APP/RDR02,120.4000,TAK/RJOT,AIR,APP/RDR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西APP/RDR03,261.2000,TAK/RJOT,AIR,APP/RDR,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西DEP01,121.2000,TAK/RJOT,AIR,DEP,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西DEP02,120.4000,TAK/RJOT,AIR,DEP,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西DEP03,120.4000,TAK/RJOT,AIR,DEP,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西DEP04,121.2000,TAK/RJOT,AIR,DEP,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西DEP05,261.2000,TAK/RJOT,AIR,DEP,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西TCA01,119.0250,TAK/RJOT,AIR,TCA,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
関西TCA02,315.8000,TAK/RJOT,AIR,TCA,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ATIS,127.4500,TAK/RJOT,AIR,ATIS,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ANA/ADO/IBX,129.1000,TAK/RJOT,AIR,company,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
JAL/JAR/JTA/JAC/AHX/JJP/FDA,130.1000,TAK/RJOT,AIR,company,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
四国航空,131.5000,TAK/RJOT,AIR,company,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
香川県警察航空隊,135.9500,TAK/RJOT,AIR,company,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
香川県防災航空隊01,131.9750,TAK/RJOT,AIR,company,AM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
香川県防災航空隊02,383.6500,TAK/RJOT,AIR,company,FM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ANA,149.5300,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
エアソウル,3B,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
中華航空,3B,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
航空局/気象庁,153.4500,TAK/RJOT,AIR,grand,FM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
高松空港,157.6100,TAK/RJOT,AIR,grand,FM,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
高松空港ビル,3R,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
航空保安協会,3B,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
KAFCO,3B,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
セノン,3B,TAK/RJOT,AIR,grand,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
VOR,108.4MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
DME,982MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ILS-LOC26,109.7MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ILS-GP 26,333.2MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
ILS-DME26,995MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
MSAS,1575.42MHz,TAK/RJOT,AIR,ILS,,高松,"TAK,RJOT,高松,中国・四国,四国,愛媛",,34.2186,134.0186
