name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
RDO01,118.3000,WKJ/RJCW,AIR,RDO,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
RDO02,126.2000,WKJ/RJCW,AIR,RDO,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
東京CON01,132.6000,WKJ/RJCW,AIR,CON,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
東京CON02,255.2000,WKJ/RJCW,AIR,CON,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
東京CON03,134.2500,WKJ/RJCW,AIR,CON,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
東京CON04,260.4000,WKJ/RJCW,AIR,CON,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
ANA,129.8500,WKJ/RJCW,AIR,company,AM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
ANA,149.5300,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
北海道エアポート01,149.4500,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
北海道エアポート02,153.4500,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
北海道エアポート03,154.2900,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
北海道エアポート04,3R 3T,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
航空局,153.4500,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
気象庁01,153.4500,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
気象庁02,154.2900,WKJ/RJCW,AIR,grand,FM,稚内,"稚内,WKJ,RJCW,北海道",,45.4002,141.7970
