name,freq,airport,category,subcategory,mode,region,tags,memo,lat,lon
八尾TWR01,124.3500,YAO/RJOY,AIR,TWR,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
八尾TWR02,126.2000,YAO/RJOY,AIR,TWR,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
関西APP01,120.4500,YAO/RJOY,AIR,APP,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
関西APP02,124.7000,YAO/RJOY,AIR,APP,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
関西APP03,261.2000,YAO/RJOY,AIR,APP,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
八尾GND,121.8000,YAO/RJOY,AIR,GND,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
大阪府警察航空隊,135.9500,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
大阪市消防航空隊01,131.1500,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
大阪市消防航空隊02,383.6500,YAO/RJOY,AIR,company,FM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
エアロトヨタ01,129.6000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
エアロトヨタ02,122.4000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
朝日航空,129.5500,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
アジア航測,123.5000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
大阪航空,129.0000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
ヒラタ学園,219.8000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
共立航空撮影,130.1500,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
第一航空,129.4500,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
中日本航空,131.3000,YAO/RJOY,AIR,company,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
航空保安協会,3B,YAO/RJOY,AIR,grand,AM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
航空局/気象庁01,149.4500,YAO/RJOY,AIR,grand,FM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
航空局/気象庁02,153.4500,YAO/RJOY,AIR,grand,FM,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
VOR,114.6MHz,YAO/RJOY,AIR,ILS,,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
DME,1180MHz,YAO/RJOY,AIR,ILS,,八尾,"YAO,RJOY,八尾,八尾飛行場,関西,大阪,関西,近畿",,34.5961,135.6027
